cdcid,DateFirstIll,EstimatedPrimary,DeathsInfo,HospitalInfo,CAFC_1,States,Ingredients,FoodNames,IFSACLevel,TaxonomyConfirmation
296746,2020-06-03,30,20.0,22.0,Chicken,"['colorado', 'illinois', 'indiana', 'michigan', 'ohio', 'wisconsin']",[],['chicken'],"['land', 'animals', 'meat', 'poultry', 'poultry', 'chicken']",confirmed
296747,2019-03-08,9,9.0,9.0,,['california'],[],[],[],suspected
296748,2019-03-23,32,32.0,32.0,,['california'],[],[],[],suspected
296749,2019-05-05,6,6.0,6.0,,['california'],[],[],[],
296750,2019-07-06,3,3.0,1.0,Multiple,['california'],[],['sushi'],['multiple'],
296751,2019-05-24,14,14.0,14.0,Grains-Beans,['california'],[],"['chick', 'peas']","['plant', 'grains', 'beans', 'beans']",
296752,2019-08-04,15,15.0,15.0,Chicken,"['california', 'nevada']",['chicken'],['chicken'],"['land', 'animals', 'meat', 'poultry', 'poultry', 'chicken']",confirmed
296753,2019-10-23,14,14.0,14.0,Chicken,['california'],[],['chicken'],"['land', 'animals', 'meat', 'poultry', 'poultry', 'chicken']",suspected
296754,2019-01-23,5,5.0,5.0,,['california'],[],[],[],confirmed
296755,2019-06-08,4,4.0,4.0,,['california'],[],[],[],
296756,2019-06-15,16,16.0,16.0,,['california'],[],[],[],confirmed
296757,2019-07-25,4,4.0,4.0,Multiple,['california'],[],"['chicken', 'dishes']",['multiple'],
296758,2019-04-22,3,3.0,3.0,Other Meat,['california'],['goat'],"['goat', 'stew']","['land', 'animals', 'meat', 'poultry', 'meat', 'other', 'meat']",confirmed
296763,2019-02-20,2,2.0,2.0,,['maryland'],[],[],[],
296764,2020-10-16,2,2.0,2.0,,['michigan'],[],[],[],
296765,2020-08-24,2,2.0,2.0,,['michigan'],[],[],[],
296768,2016-02-05,6,6.0,6.0,Fruits,"['louisiana', 'missouri', 'tennessee', 'texas']",['watermelon'],['watermelon'],"['plant', 'produce', 'fruits', 'melons', 'fruit']",confirmed
296783,2019-06-15,5,5.0,5.0,Multiple,['california'],[],"['sandwich', 'pork']",['multiple'],confirmed
296784,2019-09-20,5,5.0,5.0,,['california'],[],[],[],
296785,2019-04-28,45,45.0,15.0,,['california'],[],[],[],
296786,2019-09-15,17,0.0,0.0,,['california'],[],[],[],suspected
296787,2019-05-01,12,12.0,12.0,,['california'],[],[],[],
296788,2019-08-27,18,18.0,18.0,Fruits,['california'],['avocado'],['guacamole'],"['plant', 'produce', 'fruits', 'sub', 'tropical']",confirmed
296789,2019-05-05,140,140.0,140.0,,['california'],[],[],[],confirmed
296793,2020-01-21,55,55.0,48.0,Fungi,"['arizona', 'california', 'connecticut', 'georgia', 'illinois', 'louisiana', 'new', 'jersey', 'new', 'york', 'oregon', 'pennsylvania', 'washington', 'wisconsin']",['mushrooms'],"['woodear', 'mushrooms']","['plant', 'produce', 'vegetables', 'fungi']",confirmed
296794,2020-12-03,5,5.0,5.0,,"['south', 'carolina']",[],[],[],suspected
296795,2020-11-08,4,4.0,4.0,,['michigan'],[],[],[],
296797,2020-02-05,2,2.0,2.0,,['michigan'],[],[],[],
296798,2020-05-11,771,0.0,763.0,,"['georgia', 'illinois', 'iowa', 'kansas', 'massachusetts', 'michigan', 'minnesota', 'missouri', 'nebraska', 'north', 'dakota', 'ohio', 'pennsylvania', 'south', 'dakota', 'wisconsin']",[],"['salad', 'mix', 'bagged']","['plant', 'produce', 'vegetables']",confirmed
296799,2020-07-15,18,10.0,15.0,Nuts-Seeds,"['california', 'minnesota', 'washington', 'wisconsin']","['cashews', 'cashews']","['smoothie', 'bowl', 'smoothie']","['plant', 'nuts', 'seeds', 'nuts']",confirmed
296805,2020-08-10,32,28.0,29.0,,"['california', 'illinois', 'louisiana', 'maryland', 'michigan', 'montana', 'new', 'jersey', 'ohio', 'utah', 'virginia', 'washington', 'wisconsin']",[],[],[],confirmed
296806,2019-11-28,16,16.0,16.0,,['california'],[],[],[],confirmed
296807,2019-12-17,13,13.0,13.0,Multiple,['california'],[],"['pasta', 'with', 'cream', 'sauce']",['multiple'],suspected
296808,2019-07-02,14,14.0,14.0,Grains-Beans,['california'],['rice'],"['rice', 'fried', 'rice', 'sauces']","['plant', 'grains', 'beans', 'grains']",suspected
296809,2019-10-31,7,7.0,7.0,,['california'],[],[],[],suspected
296811,2020-07-06,25,11.0,10.0,,"['connecticut', 'florida', 'georgia', 'idaho', 'indiana', 'kentucky', 'ohio']",[],[],[],confirmed
296814,2018-08-22,7,5.0,5.0,Fruits,"['california', 'colorado', 'florida', 'illinois', 'ohio']",[],"['stone', 'fruit']","['plant', 'produce', 'fruits', 'stone']",confirmed
296820,2020-09-02,19,16.0,16.0,,"['california', 'colorado', 'illinois', 'michigan', 'new', 'york', 'ohio', 'pennsylvania', 'virginia', 'washington']",[],[],[],confirmed
296821,2020-09-19,47,35.0,35.0,,"['california', 'minnesota', 'north', 'carolina', 'ohio', 'south', 'carolina', 'wisconsin']",[],[],[],confirmed
296822,2020-12-04,4,4.0,4.0,Multiple,['florida'],[],"['refried', 'beans']",['multiple'],suspected
296824,2020-06-03,34,23.0,23.0,Multiple,"['california', 'colorado', 'idaho', 'iowa', 'kansas', 'montana', 'north', 'carolina', 'ohio', 'wisconsin']",[],['sushi'],['multiple'],confirmed
296825,2020-05-14,2,1.0,1.0,Dairy,"['new', 'york', 'virginia']",[],"['dairy', 'products']","['land', 'animals', 'dairy']",confirmed
296827,2020-11-20,2,2.0,2.0,Fish,['florida'],['tuna'],"['fish', 'tuna', 'spicy', 'roll']","['aquatic', 'animals', 'fish']",confirmed
296828,2020-08-10,40,33.0,28.0,Vegetable Row Crops,"['arizona', 'california', 'illinois', 'indiana', 'kansas', 'michigan', 'minnesota', 'missouri', 'north', 'dakota', 'ohio', 'oregon', 'pennsylvania', 'tennessee', 'texas', 'utah', 'virginia', 'washington', 'wisconsin', 'wyoming']",[],"['leafy', 'greens']","['plant', 'produce', 'vegetables', 'leafy', 'vine', 'stalk', 'vegetable', 'row', 'crops', 'leafy']",confirmed
296831,2020-03-10,7,7.0,7.0,,['arizona'],[],[],[],confirmed
296833,2020-07-12,13,13.0,13.0,Multiple,['arizona'],[],['ceviche'],['multiple'],
296834,2020-08-19,8,8.0,8.0,,['arizona'],[],[],[],confirmed
296843,2020-01-19,60,0.0,0.0,Multiple,['washington'],[],"['sandwich', 'peanut', 'butter', 'and', 'jelly']",['multiple'],suspected
296860,2020-12-27,4,3.0,3.0,Multiple,['utah'],[],"['pate', 'chicken', 'livers']","['land', 'animals', 'meat', 'poultry']",confirmed
296869,2020-12-21,3,3.0,3.0,,['texas'],[],[],[],suspected
296873,2020-08-05,2,2.0,2.0,Multiple,['texas'],[],"['turkey', 'roasted', 'chicken', 'fried', 'steak']",['multiple'],
296874,2020-09-19,2,0.0,0.0,Multiple,['texas'],[],"['mexican', 'pizza']",['multiple'],
296877,2020-07-12,2,2.0,2.0,,['minnesota'],[],[],[],confirmed
296893,2020-07-31,7,7.0,7.0,Eggs,['michigan'],"['egg', 'egg']","['pie', 'unspecified', 'cake', 'unspecified']","['land', 'animals', 'eggs']",confirmed
296894,2020-11-25,2,0.0,0.0,Chicken,['texas'],['chicken'],"['chicken', 'nuggets', 'fingers']","['land', 'animals', 'meat', 'poultry', 'poultry', 'chicken']",
296897,2021-01-16,3,3.0,3.0,,['ohio'],[],[],[],suspected
296899,2020-07-30,2,2.0,2.0,,['texas'],[],[],[],
296900,2021-01-05,3,3.0,3.0,,"['south', 'carolina']",[],[],[],suspected
